StateAbbv,StateName,P1_StatePlan,P2_Standards,P3_Funding,P4_Certification,P5_PreserviceIncentives,P6_StateCSposition,P7_RequireHStoOffer,P8_CountGradReq,P9_HigherEdAdmission,PctReportedFCS,YearOfLast,NumOfHS,NumHSWithCS,PctHSwFCS,TotalStudents,NumStudentsinHSwCS,PctStudentsHSwCS,Total_Black,Total_HLLL,Total_Native,Total_HPI,Total_White,Total_Asian,Total_TwoPlus,InCSHS_Black,InCSHS_HLLL,InCSHS_Native,InCSHS_HPI,InCSHS_White,InCSHS_Asian,InCSHS_TwoPlus,InFCS_Male,InFCS_Female,InFCS_Other,InFCS_Black,InFCS_HLLL,InFCS_Native,InFCS_HPI,InFCS_White,InFCS_Asian,InFCS_TwoPlus,InFCS_Total,AP_Male,AP_Female,AP_Gender,AP_Black,AP_HLLL,AP_Native,AP_HPI,AP_Asian,AP_White,AP_TwoPlus,AP_Total,,
KY,Kentucky,In progress,Yes,Yes,Yes,No,Yes,No,District Decision,Yes,0.51,21,405,207,0.511111111,214207,174334,0.813855348,23651,14842,275,272,164171,4041,6955,18348,12078,221,227,134046,3667,5746,5831,1795,,668,443,12,9,5721,543,230,7626,1238,540,10,61,95,16,0,220,1317,79,1788,,
LA,Louisiana,No,No,No,Yes,No,No,No,Yes,Yes,0.29,21,398,117,0.293969849,244519,110222,0.450770848,98693,16271,1960,190,118020,4113,5272,44086,7782,710,99,52661,2619,2265,2775,1803,,2233,260,0,0,1779,231,61,4578,651,349,2,130,100,4,3,103,619,43,1002,,
MA,Massachusetts,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0.82,20,387,319,0.824289406,327368,293386,0.896195828,35091,66167,798,304,189252,21588,10705,29880,57486,714,269,175474,19945,9617,14372,4871,24,1572,2432,33,21,11580,2896,733,19267,3917,1673,8,363,490,17,5,1351,3133,239,5598,,
MD,Maryland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.9,20,242,218,0.900826446,270650,260194,0.961367019,92550,47940,629,363,99771,18321,11076,87349,44057,601,351,98813,18143,10880,20144,13785,,12048,4395,47,56,11376,4623,1384,33929,4834,2776,11,996,572,46,8,2135,3445,418,7621,,
ME,Maine,Yes,No,Yes,No,No,Yes,No,District Decision,No,0.6,21,126,76,0.603174603,54378,39053,0.718180358,2092,1299,443,44,48436,916,1148,1894,968,347,34,34186,785,839,,,,,,,,,,,,210,88,2,3,13,1,0,28,248,7,300,,
MI,Michigan,No,Yes,No,No,No,Yes,No,Yes,No,0.44,21,1327,580,0.437076112,542475,393133,0.724702436,91931,42968,5246,444,365100,17742,19044,54975,31951,3298,330,274336,14367,13875,,,,,,,,,,,,3258,1346,9,168,241,8,5,864,3199,127,4613,,
MN,Minnesota,No,No,No,No,No,Yes,No,Yes,No,0.24,20,1114,267,0.23967684,309507,214306,0.692410427,32655,29144,5940,267,208089,19864,13548,21317,19541,2848,190,144913,16324,9172,,,,,,,,,,,,1388,418,3,87,119,5,1,399,1089,109,1809,,
MO,Missouri,No,Yes,Yes,Yes,No,No,No,Yes,No,0.5,20,634,316,0.498422713,278007,206895,0.744207656,39221,18280,1134,758,203047,5832,9735,27863,14575,787,638,150153,5154,7726,6954,2281,,1106,552,0,0,6735,489,239,9235,858,214,3,64,38,7,1,178,734,52,1075,,
MS,Mississippi,In progress,Yes,Yes,Yes,No,No,Yes,Yes,Yes,0.65,21,252,163,0.646825397,155429,117895,0.758514943,69262,5746,938,81,74955,1643,2804,49626,4766,403,64,59514,1308,2214,4352,3799,,3740,299,15,0,3791,92,207,8151,195,119,2,58,19,1,0,32,186,19,316,,
MT,Montana,No,Yes,No,Yes,Yes,No,No,District Decision,No,0.37,21,174,65,0.373563218,42916,27800,0.647772698,395,2081,4812,95,33772,446,1315,296,1497,2486,65,22266,328,862,,,,,,,,,,,,33,5,0,1,6,0,0,3,25,2,38,,
