StateAbbv,SchoolsTotal,SchoolsWithFCS,PctHSwFCS,TotalStudents,NumStudentsinHSwCS,PctStudentsHSwCS,Pct_FCS_City,Pct_FCS_Suburban,Pct_FCS_Town,Pct_FCS_Rural,Pct_FCS_FRLlt24,Pct_FCS_FRL25to49,Pct_FCS_FRL50to74,Pct_FCS_FRLgt75,Schools_FCS_City,Schools_FCS_Suburban,School_FCS_Town,Schools_FCS_Rural,Schools_FCS_FRLlt24,Schools_FCS_FRL25to49,Schools_FCS_FRL50to74,Schools_FCS_FRLgt75,Schools_FCS_FRL_Unknown,RS_RuralUrban_FCS_School,RS_RuralUrban_FCS_School_Zscore,RS_FRLInc_FCS_School,RS_FRLInc_FCS_School_Zscore,HaveNotCSHaveCS_Size_Ratio,HaveNotCSHaveCS_Size_Ratio_Zscore
MO,634,316,0.498422713,278007,206895,0.744207656,0.53,0.68,0.47,0.46,0.75,0.57,0.5,0.38,42,57,62,155,55,121,83,32,25,0.762327683,-0.372907479,0.740434968,-0.250888962,0.341548876,-0.229852401
MS,252,163,0.646825397,155429,117895,0.758514943,0.91,0.82,0.58,0.64,0.5,0.89,0.72,0.57,10,14,38,101,2,25,63,73,0,0.727743656,-0.51390049,0.749815935,-0.193278343,0.583078544,1.511843501
MT,174,65,0.373563218,42916,27800,0.647772698,0.78,0,0.48,0.33,0.43,0.36,0.44,0.24,7,0,13,45,20,31,8,6,0,0.454942508,-1.626062918,0.843091922,0.379550398,0.324249224,-0.354602013
NC,697,414,0.593974175,519747,406844,0.782772344,0.63,0.68,0.54,0.56,0.73,0.73,0.48,0.38,121,76,56,161,115,172,49,76,2,0.855497269,0.006928583,0.565716714,-1.323872911,0.405967691,0.234678468
ND,169,72,0.426035503,36944,26359,0.713496137,0.7,0.75,0.62,0.38,0.57,0.39,0.13,0.16,7,3,8,54,39,29,1,3,0,0.559969332,-1.19788698,0.317628295,-2.847439489,0.298073038,-0.543361252
NE,269,124,0.460966543,105506,81444,0.771937703,0.95,1,0.67,0.35,0.48,0.48,0.4,0.44,20,8,24,72,20,75,25,4,0,0.412399643,-1.799502716,0.843915344,0.384607217,0.252654077,-0.870882173
NH,100,78,0.78,55167,52063,0.943727114,0.73,0.79,0.65,0.85,0.84,0.75,0.5,N/A,8,23,13,34,48,27,3,0,0,1.01259297,0.647380197,,,0.211380268,-1.168511957
NJ,516,351,0.680232558,449520,393822,0.876094616,0.4,0.71,0.8,0.71,0.8,0.7,0.6,0.52,23,280,8,40,175,87,60,29,0,1.079060772,0.918357769,0.74807713,-0.20395673,0.300858856,-0.523272427
NM,241,105,0.435684647,110610,69989,0.632757319,0.46,0.5,0.38,0.43,0.42,0.6,0.47,0.35,32,11,22,40,11,33,17,42,2,0.874807997,0.085655034,0.708249116,-0.448549489,0.44809615,0.538471228
NV,151,125,0.82781457,161249,153941,0.954681243,0.8,0.92,0.85,0.81,0.75,0.86,0.89,0.83,55,24,17,29,30,37,25,33,0,0.989589168,0.553597731,1.059278087,1.707198083,0.228234294,-1.046975804
NY,1428,714,0.5,952239,630133,0.661738209,0.45,0.69,0.49,0.41,0.6,0.56,0.48,0.42,304,223,52,135,165,201,138,209,1,0.813965444,-0.162389383,0.765900753,-0.094497869,0.511171451,0.993313872
OH,971,489,0.503604531,565557,366637,0.648276615,0.34,0.67,0.5,0.48,0.49,0.57,0.45,0.36,76,185,69,159,231,143,51,27,37,0.930154133,0.311291518,0.708269173,-0.448426315,0.550432389,1.276428632
OK,494,263,0.532388664,197146,151921,0.770601249,0.7,0.86,0.63,0.45,0.71,0.59,0.55,0.37,30,31,53,149,10,90,128,35,0,0.629247448,-0.915452255,0.829769842,0.297736523,0.338925725,-0.24876822
OR,341,189,0.554252199,196708,160350,0.815169408,0.73,0.61,0.57,0.43,0.49,0.71,0.49,0.42,49,31,53,56,42,76,61,10,0,0.719921477,-0.545790142,0.782071218,0.004808578,0.281935158,-0.659733206
PA,794,504,0.634760705,624014,506689,0.811983654,0.52,0.74,0.65,0.57,0.74,0.75,0.56,0.55,81,232,64,127,172,215,29,84,4,0.891364623,0.153153493,0.735278691,-0.282554812,0.402421917,0.209109514
RI,63,54,0.857142857,44343,42454,0.957401051,0.81,0.94,0,0.67,1,0.93,0.67,0.81,17,31,0,6,16,13,8,17,0,0.753280689,-0.409790486,0.784850792,0.021878566,0.26697131,-0.767639093
SC,306,282,0.921568627,241394,237133,0.982346775,0.81,0.95,1,0.92,0.9,0.95,1,0.85,39,80,33,130,37,71,41,89,44,1.040123316,0.75961659,1.053137857,1.669489559,0.211133625,-1.170290525
SD,210,83,0.395238095,43793,29332,0.669779595,0.65,1,0.47,0.34,0.41,0.44,0.38,0.32,13,1,15,54,36,34,3,10,0,0.542627953,-1.268584741,0.783177306,0.011601317,0.322204069,-0.369349842
TN,423,230,0.543735225,312860,222053,0.709753336,0.55,0.74,0.44,0.52,0.53,0.67,0.49,0,78,39,33,80,123,72,35,0,0,0.82094715,-0.133926192,0.853198449,0.441616846,0.487341292,0.82147208
TX,2066,1021,0.494191675,1714001,1339124,0.781285535,0.5,0.65,0.39,0.45,0.59,0.56,0.48,0.42,331,230,100,360,141,290,340,249,1,0.788479311,-0.26629188,0.79543354,0.086869597,0.273512673,-0.720468636
UT,333,248,0.744744745,287198,257579,0.896869543,0.63,0.77,0.77,0.77,0.82,0.8,0.68,0.47,40,132,27,49,106,101,27,9,5,1.051679587,0.806729478,0.722945309,-0.358296878,0.335500131,-0.27347054
VA,348,255,0.732758621,403527,347175,0.860351774,0.71,0.78,0.7,0.71,0.83,0.81,0.72,0.57,44,91,28,92,64,118,47,26,0,0.93638489,0.336693223,0.805828649,0.150708292,0.445059547,0.516573964
VT,70,45,0.642857143,26554,18754,0.706254319,1,1,0.64,0.59,0.73,0.63,0.75,N/A,3,3,16,23,8,25,3,0,9,0.609536424,-0.995810641,,,0.74864029,2.705726709
WA,811,396,0.488286067,372859,320233,0.858858808,0.45,0.54,0.39,0.55,0.43,0.64,0.5,0.46,118,114,51,113,69,170,109,36,12,0.995163712,0.57632417,0.87050618,0.5479075,0.156812748,-1.562004096
WI,638,396,0.620689655,279601,240396,0.859782734,0.47,0.73,0.6,0.66,0.65,0.74,0.55,0.32,63,74,73,186,134,189,54,18,1,1.103014777,1.016014046,0.663384901,-0.724070688,0.266866488,-0.768394973
WV,130,99,0.761538462,79972,69736,0.872005721,0.89,0.83,0.74,0.74,1,0.88,0.59,N/A,8,15,20,56,3,66,22,0,8,0.870659973,0.068744264,,,0.468755898,0.687450845
WY,105,52,0.495238095,30254,22017,0.727737945,0.6,N/A,0.42,0.52,0.53,0.51,0.45,0,6,0,13,33,16,31,5,0,0,0.812027158,-0.170291436,0.871018018,0.551050811,0.36706113,-0.045880846
